"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"ACC1","1","GY-521","","","","GY-521:GY-521",""
"C1,C2,C3,C4,C5,C6","6","EEUFR1E101","","","","EEUFR1E101:CAPPRD250W50D630H1120",""
"C7,C9","2","C_Small","","","","ceramic:C320C","~"
"D1","1","LED","","","","LED_THT:LED_D3.0mm_Horizontal_O1.27mm_Z6.0mm","~"
"D3","1","LED D2","","","","LED_THT:LED_D3.0mm_Horizontal_O1.27mm_Z6.0mm","~"
"J1","1","B2B-XH-A_LF__SN_","","","","Connector_JST:JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical",""
"J2","1","Motor 1","","","","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",""
"J3","1","Motor 2","","","","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",""
"J4","1","Conn_01x06_Socket","","","","Connector_PinSocket_1.27mm:PinSocket_1x06_P1.27mm_Vertical","~"
"R1,R2,R3,R4","4","220","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","~"
"R5,R6,R7,R11","4","10","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","~"
"R9,R10","2","330","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","~"
"S1,S2","2","FSM8JH","","","","FSM8JH:SW_FSM8JH",""
"U1","1","AMS1117-5.0","","","","AMS1117-5.0:SOT229P700X180-4N",""
"U2","1","AMS1117-3.3","","","","AMS1117-3.3:SOT229P700X180-4N",""
"U3","1","DEV-15583","","","","DEV-15583 (2):MODULE_DEV-15583",""
"U4","1","ROB-14450","","","","ROB-14450:MODULE_ROB-14450",""
"U5,U6,U7,U8","4","TCRT5000","","","","TCRT5000 (1):OPTO_TCRT5000",""
